id,far_part,flt_plan_filed,acft_make,acft_model,total_seats,num_eng,fixed_retractable,cert_max_gr_wt,acft_category,homebuilt,type_last_insp,afm_hrs_last_insp,afm_hrs,elt_install,elt_type,oper_dba,certs_held,type_fly,second_pilot,dprt_apt_id,dprt_time,dest_apt_id,site_seeing,air_medical,flight_hours_mean,crew_category,crew_sex,pc_profession,crew_tox_perf,mr_faa_med_certf,available_restraint,eng_no,eng_type,eng_mfgr,eng_model,power_units,hp_or_lbs,carb_fuel_injection,propeller_type,subcategory_no
20140327X616571,091,NONE,,,1.0,1.0,FIXD,296.0,AIR,Y,UNK,,,N,,,Y,PERS,N,X64 ,,X64 ,N,N,3800.0,PLT,,UNK,Y,,U,1,REC,Volkswagen,unk ,,,CARB,FIXP,6
20160601X132561,091,VFR,LUSCOMBE,8,2.0,1.0,FIXD,1400.0,AIR,N,ANNL,,3130.10009765625,Y,,,Y,PERS,N,SWW ,1530.0,MAF ,N,N,314.0,PLT,F,No,N,,L,1,REC,Continental,C-85-12-F,,HP,CARB,FIXP,6
20180915X628522,091,NONE,Luscombe,8,2.0,1.0,FIXD,1400.0,AIR,N,ANNL,,,Y,UNK,,Y,PERS,N,44N ,1730.0,44N ,N,N,1272.5,PLT,M,No,N,,4,1,REC,Continental,C-85,,,CARB,FIXP,2
20130822X149551,091,NONE,BEECH,35,,1.0,RETR,,AIR,N,ANNL,,2400.0,Y,UNK,,Y,PERS,N,KPWK,,KPWK,N,N,3420.0,PLT,M,No,N,,,1,REC,Continental,IO-520,,,FINJ,,4
20191209X035501,091,VFR,Beech,36,6.0,1.0,RETR,3651.0,AIR,N,,,,,,,Y,PERS,N,1T7 ,1900.0,F41 ,N,N,132.0,PLT,M,No,N,,L,1,REC,Continental Motors,IO-550 ,,,FINJ,,6
20200212X209091,091,NONE,Beech,55,6.0,2.0,RETR,5300.0,AIR,N,ANNL,,,Y,UNK,,Y,PERS,Y,FPR ,2310.0,SEF ,N,N,645.0,PLT,M,No,N,,4,1,REC,Continental,IO-550 Series,,,FINJ,CONP,6
20180803X101151,091,IFR,Beech,58,2.0,2.0,RETR,5500.0,AIR,N,,,,,,,Y,PERS,N,CHS ,1300.0,GMU ,N,N,1707.0,PLT,M,Yes,N,,U,1,REC,,,,,,,6
20080529X007481,091,NONE,Beech,76,,2.0,RETR,,AIR,N,,,,,,,Y,INST,,GKY ,,CPT ,N,N,798.5,FLTI,M,,N,,,1,REC,Lycoming,O-360,,,,,4
20180305X145041,091,NONE,BEECH,77,4.0,1.0,FIXD,1680.0,AIR,N,ANNL,,,,,,Y,PERS,N,ODO ,15.0,ODO ,N,N,348.0,PLT,M,No,N,,3,1,REC,Lycoming,O-235,,,CARB,FIXP,4
20170322X155071,091,NONE,LUSCOMBE,8F,2.0,1.0,FIXD,3086.0,AIR,N,,,,,,,Y,PERS,N,7MI3,,,N,N,1180.0,PLT,,No,Y,,,1,REC,Continental ,C-90-18F,,,CARB,,4
20100318X300181,091,NONE,BEECH,95,5.0,2.0,RETR,4100.0,AIR,N,UNK,,,Y,C91A,,Y,PERS,N,44N ,1553.0,MSV ,N,N,1027.0,PLT,M,No,N,,,1,REC,Lycoming,O&VO-360 SER,,,CARB,,6
20151015X210061,091,NONE,KUBICEK,BB,21.0,4.0,FIXD,,BALL,N,ANNL,,119.0,N,,,Y,OWRK,N,,1320.0,,Y,N,7100.0,PLT,M,Yes,N,,N,1,NONE,4 BURNER TYPE ENGINES,,,,,,6
20150629X131151,091,NONE,AVENTURA,II,2.0,1.0,FIXD,,AIR,Y,UNK,,,N,,,Y,PERS,N,,2330.0,,N,N,32.0,PLT,,No,N,,3,1,REC,,,,HP,CARB,FIXP,6
